"고유번호","환승시작역","환승시작 코드","환승시작 호선","하차 열차 방면","하차위치(호차)","하차위치(문)","환승종료역","환승종료역 코드","환승종료 호선","환승 열차 방면","환승 승차위치(호차)","환승 승차위치(문)","소요시간"
579,왕십리,"2541","5",행당 방면,"2","3",왕십리,"0208","2",상왕십리 방면,"8","4","03:44"
580,왕십리,"2541","5",마장 방면,"5","2",왕십리,"0208","2",상왕십리 방면,"8","4","03:44"
581,왕십리,"2541","5",마장 방면,"5","2",왕십리,"0208","2",한양대 방면,"8","4","03:44"
582,왕십리,"2541","5",행당 방면,"2","3",왕십리,"0208","2",한양대 방면,"8","4","03:44"
583,군자,"2545","5",장한평 방면,"8","4",군자,"2727","7",중곡 방면,"5","1","01:49"
584,군자,"2545","5",장한평 방면,"1","1",군자,"2727","7",어린이대공원 방면,"5","1","01:49"
585,군자,"2545","5",아차산 방면,"8","4",군자,"2727","7",어린이대공원 방면,"5","1","01:49"
586,군자,"2545","5",아차산 방면,"1","1",군자,"2727","7",중곡 방면,"5","1","01:49"
587,천호,"2548","5",강동 방면,"8","2",천호,"2812","8",강동구청 방면,"5","4","01:59"
588,천호,"2548","5",광나루 방면,"1","2",천호,"2812","8",암사 방면,"5","4","01:59"
589,천호,"2548","5",광나루 방면,"1","2",천호,"2812","8",강동구청 방면,"5","4","01:59"
590,천호,"2548","5",강동 방면,"8","2",천호,"2812","8",암사 방면,"5","4","01:59"
884,강동,"2549","5",강동 방면,"1","1",강동,"2549","5",둔촌동 방면,"1","1","02:35"
885,강동,"2549","5",강동 방면,"1","1",강동,"2549","5",길동 방면,"1","1","02:35"
591,오금,"2558","5",방이 방면,"8","1",오금,"0342","3",경찰병원 방면,"8","2","01:29"
592,오금,"2558","5",개롱 방면,"1","4",오금,"0342","3",경찰병원 방면,"8","2","01:29"
593,불광,"2613","6",독바위 방면,"2","3",불광,"0312","3",연신내 방면,"10","4","03:50"
594,불광,"2613","6",독바위 방면,"7","2",불광,"0312","3",녹번 방면,"10","4","03:50"
595,연신내,"2615","6",구산 방면,"6","2",연신내,"0311","3",불광 방면,"6","4","04:02"
596,연신내,"2615","6",구산 방면,"6","2",연신내,"0311","3",구파발 방면,"6","4","04:02"
597,디지털미디어시티,"2619","6",증산 방면,"8","4",디지털미디어시티,"4204",공항철도,홍대입구 방면,"6","4","10:00"
598,디지털미디어시티,"2619","6",월드컵경기장 방면,"7","3",디지털미디어시티,"1266",경의선,가좌 방면,"8","4","10:00"
599,디지털미디어시티,"2619","6",월드컵경기장 방면,"7","3",디지털미디어시티,"1266",경의선,수색 방면,"8","4","10:00"
600,디지털미디어시티,"2619","6",증산 방면,"2","2",디지털미디어시티,"1266",경의선,가좌 방면,"8","4","10:00"
601,디지털미디어시티,"2619","6",증산 방면,"2","2",디지털미디어시티,"1266",경의선,수색 방면,"8","4","10:00"
602,디지털미디어시티,"2619","6",월드컵경기장 방면,"1","1",디지털미디어시티,"4204",공항철도,마곡나루 방면,"6","4","10:00"
603,디지털미디어시티,"2619","6",월드컵경기장 방면,"1","1",디지털미디어시티,"4204",공항철도,홍대입구 방면,"6","4","10:00"
604,디지털미디어시티,"2619","6",증산 방면,"8","4",디지털미디어시티,"4204",공항철도,마곡나루 방면,"6","4","10:00"
605,합정,"2623","6",망원 방면,"3","2",합정,"0238","2",당산 방면,"9","3","02:41"
606,합정,"2623","6",상수 방면,"6","3",합정,"0238","2",홍대입구 방면,"9","3","02:41"
607,합정,"2623","6",망원 방면,"3","2",합정,"0238","2",홍대입구 방면,"9","3","02:41"
608,합정,"2623","6",상수 방면,"6","3",합정,"0238","2",당산 방면,"9","3","02:41"
609,공덕,"2627","6",효창공원앞 방면,"1","1",공덕,"1262",경의선,효창공원앞 방면,모든 호차,모든 문,"10:00"
610,공덕,"2627","6",대흥 방면,"8","4",공덕,"1262",경의선,효창공원앞 방면,모든 호차,모든 문,"10:00"
611,공덕,"2627","6",대흥 방면,모든 호차,모든 문,공덕,"1262",경의선,서강대 방면,모든 호차,모든 문,"10:00"
612,공덕,"2627","6",대흥 방면,"1","1",공덕,"4202",공항철도,홍대입구 방면,"1","4","10:00"
613,공덕,"2627","6",효창공원앞 방면,"8","4",공덕,"2530","5",마포 방면,"1","1","02:54"
614,공덕,"2627","6",효창공원앞 방면,모든 호차,모든 문,공덕,"1262",경의선,서강대 방면,모든 호차,모든 문,"10:00"
615,공덕,"2627","6",효창공원앞 방면,"8","4",공덕,"4202",공항철도,홍대입구 방면,"1","4","10:00"
616,공덕,"2627","6",효창공원앞 방면,"8","4",공덕,"4202",공항철도,서울역 방면,"1","4","10:00"
617,공덕,"2627","6",대흥 방면,"1","1",공덕,"4202",공항철도,서울역 방면,"1","4","10:00"
618,공덕,"2627","6",대흥 방면,"1","1",공덕,"2530","5",애오개 방면,"1","1","02:54"
619,공덕,"2627","6",대흥 방면,"1","1",공덕,"2530","5",마포 방면,"1","1","02:54"
620,공덕,"2627","6",효창공원앞 방면,"8","4",공덕,"2530","5",애오개 방면,"1","1","02:54"
621,삼각지,"2629","6",효창공원앞 방면,"6","4",삼각지,"0428","4",숙대입구 방면,"10","3","03:54"
622,삼각지,"2629","6",녹사평 방면,"3","1",삼각지,"0428","4",숙대입구 방면,"10","3","03:54"
623,삼각지,"2629","6",녹사평 방면,"6","4",삼각지,"0428","4",신용산 방면,"10","3","03:54"
624,삼각지,"2629","6",효창공원앞 방면,"2","4",삼각지,"0428","4",신용산 방면,"10","3","03:54"
625,약수,"2634","6",버티고개 방면,"8","4",약수,"0323","3",동대입구 방면,"7","1","02:41"
626,약수,"2634","6",청구 방면,"1","1",약수,"0323","3",동대입구 방면,"7","1","02:41"
627,약수,"2634","6",청구 방면,"1","1",약수,"0323","3",금호 방면,"7","1","02:41"
628,약수,"2634","6",버티고개 방면,"8","4",약수,"0323","3",금호 방면,"7","1","02:41"
629,청구,"2635","6",약수 방면,"6","2",청구,"2538","5",신금호 방면,"4","3","01:17"
630,청구,"2635","6",신당 방면,"6","2",청구,"2538","5",동대문역사문화공원 방면,"4","3","01:17"
631,청구,"2635","6",약수 방면,"6","2",청구,"2538","5",동대문역사문화공원 방면,"4","3","01:17"
632,청구,"2635","6",신당 방면,"6","2",청구,"2538","5",신금호 방면,"4","3","01:17"
633,신당,"2636","6",동묘앞 방면,"8","4",신당,"0206","2",상왕십리 방면,"10","4","04:01"
634,신당,"2636","6",청구 방면,"1","1",신당,"0206","2",동대문역사문화공원 방면,"10","4","04:01"
635,신당,"2636","6",청구 방면,"1","1",신당,"0206","2",상왕십리 방면,"10","4","04:01"
636,신당,"2636","6",동묘앞 방면,"8","4",신당,"0206","2",동대문역사문화공원 방면,"10","4","04:01"
637,동묘앞,"2637","6",창신 방면,"2","2",동묘앞,"0159","1",신설동 방면,"9","2","03:00"
638,동묘앞,"2637","6",신당 방면,"7","3",동묘앞,"0159","1",동대문 방면,"9","2","03:00"
639,동묘앞,"2637","6",신당 방면,"7","3",동묘앞,"0159","1",신설동 방면,"9","2","03:00"
640,동묘앞,"2637","6",창신 방면,"2","2",동묘앞,"0159","1",동대문 방면,"9","2","03:00"
641,보문,"2639","6",창신 방면,"2","2",보문,"4712",우이신설경전철,신설동 방면,"1","1","03:07"
642,보문,"2639","6",안암 방면,"5","4",보문,"4712",우이신설경전철,신설동 방면,"1","1","03:07"
643,보문,"2639","6",안암 방면,"5","4",보문,"4712",우이신설경전철,성신여대입구 방면,"1","1","03:07"
644,보문,"2639","6",창신 방면,"3","4",보문,"4712",우이신설경전철,성신여대입구 방면,"1","1","03:07"
645,석계,"2645","6",태릉입구 방면,"5","2",석계,"1018","1",신이문 방면,"10","4","03:28"
646,석계,"2645","6",돌곶이 방면,"4","3",석계,"1018","1",신이문 방면,"10","4","03:28"
647,석계,"2645","6",돌곶이 방면,"4","3",석계,"1018","1",광운대 방면,"10","4","03:28"
648,석계,"2645","6",태릉입구 방면,"5","2",석계,"1018","1",광운대 방면,"10","4","03:28"
649,태릉입구,"2646","6",화랑대 방면,"1","1",태릉입구,"2719","7",먹골 방면,"8","4","02:53"
650,태릉입구,"2646","6",석계 방면,"8","4",태릉입구,"2719","7",먹골 방면,"8","4","02:53"
651,태릉입구,"2646","6",화랑대 방면,"1","1",태릉입구,"2719","7",공릉 방면,"8","4","02:53"
652,태릉입구,"2646","6",석계 방면,"8","4",태릉입구,"2719","7",공릉 방면,"8","4","02:53"
653,도봉산,"2712","7",수락산 방면,"8","4",도봉산,"1903","1",망월사 방면,"2","2","01:47"
654,도봉산,"2712","7",장암 방면,"1","1",도봉산,"1903","1",망월사 방면,"2","2","01:47"
655,도봉산,"2712","7",수락산 방면,"8","4",도봉산,"1903","1",도봉 방면,"2","2","01:47"
656,도봉산,"2712","7",장암 방면,"1","1",도봉산,"1903","1",도봉 방면,"2","2","01:47"
657,노원,"2715","7",마들 방면,"1","1",노원,"0411","4",상계 방면,"1","1","06:33"
658,노원,"2715","7",중계 방면,"8","4",노원,"0411","4",창동 방면,"1","1","06:33"
659,노원,"2715","7",마들 방면,"1","1",노원,"0411","4",창동 방면,"1","1","06:33"
660,노원,"2715","7",중계 방면,"8","4",노원,"0411","4",상계 방면,"1","1","06:33"
661,태릉입구,"2719","7",먹골 방면,"1","1",태릉입구,"2646","6",화랑대 방면,"1","1","02:53"
662,태릉입구,"2719","7",공릉 방면,"8","4",태릉입구,"2646","6",석계 방면,"1","1","02:53"
663,태릉입구,"2719","7",공릉 방면,"8","4",태릉입구,"2646","6",화랑대 방면,"1","1","02:53"
664,태릉입구,"2719","7",먹골 방면,"1","1",태릉입구,"2646","6",석계 방면,"1","1","02:53"
665,상봉,"2722","7",면목 방면,"6","1",상봉,"1202",경의선,망우 방면,"6","2",
666,상봉,"2722","7",중화 방면,"3","4",상봉,"1309",경춘선,망우 방면,"4","4",
667,상봉,"2722","7",면목 방면,"6","1",상봉,"1309",경춘선,망우 방면,"4","4",
668,상봉,"2722","7",중화 방면,"3","4",상봉,"1202",경의선,중랑 방면,"6","2",
669,상봉,"2722","7",면목 방면,"6","1",상봉,"1202",경의선,중랑 방면,"6","2",
670,상봉,"2722","7",중화 방면,"3","4",상봉,"1202",경의선,망우 방면,"6","2",
671,군자,"2727","7",중곡 방면,"4","4",군자,"2545","5",장한평 방면,"1","1","01:49"
672,군자,"2727","7",어린이대공원 방면,"5","1",군자,"2545","5",아차산 방면,"1","1","01:49"
673,군자,"2727","7",중곡 방면,"4","4",군자,"2545","5",아차산 방면,"1","1","01:49"
674,군자,"2727","7",어린이대공원 방면,"5","1",군자,"2545","5",장한평 방면,"1","1","01:49"
675,건대입구,"2729","7",어린이대공원 방면,"8","4",건대입구,"0212","2",구의 방면,"3","2","02:32"
676,건대입구,"2729","7",자양 방면,"1","1",건대입구,"0212","2",구의 방면,"3","2","02:32"
677,건대입구,"2729","7",어린이대공원 방면,"8","4",건대입구,"0212","2",성수 방면,"3","2","02:32"
678,건대입구,"2729","7",자양 방면,"1","1",건대입구,"0212","2",성수 방면,"3","2","02:32"
679,강남구청,"2732","7",학동 방면,"5","3",강남구청,"1849",수인분당선,선정릉 방면,"3","1","07:00"
680,강남구청,"2732","7",학동 방면,"5","3",강남구청,"1849",수인분당선,압구정로데오 방면,"3","1","07:00"
681,강남구청,"2732","7",청담 방면,"4","3",강남구청,"1849",수인분당선,압구정로데오 방면,"3","1","07:00"
682,강남구청,"2732","7",청담 방면,"4","3",강남구청,"1849",수인분당선,선정릉 방면,"3","1","07:00"
683,고속터미널,"2736","7",반포 방면,"2","3",고속터미널,"4123","9",신반포 방면,"2","1","10:00"
684,고속터미널,"2736","7",내방 방면,"7","1",고속터미널,"4123","9",사평 방면,"2","1","10:00"
685,고속터미널,"2736","7",내방 방면,"7","1",고속터미널,"4123","9",신반포 방면,"2","1","10:00"
686,고속터미널,"2736","7",반포 방면,"2","3",고속터미널,"0329","3",교대 방면,"7","2","04:22"
687,고속터미널,"2736","7",내방 방면,"7","1",고속터미널,"0329","3",잠원 방면,"7","2","04:22"
688,고속터미널,"2736","7",반포 방면,"2","3",고속터미널,"0329","3",잠원 방면,"7","2","04:22"
689,고속터미널,"2736","7",반포 방면,"2","3",고속터미널,"4123","9",사평 방면,"2","1","10:00"
690,고속터미널,"2736","7",내방 방면,"7","1",고속터미널,"0329","3",교대 방면,"7","2","04:22"
691,이수,"2738","7",남성 방면,"8","4",총신대입구,"0432","4",동작 방면,"1","1","02:51"
692,이수,"2738","7",내방 방면,"2","2",총신대입구,"0432","4",동작 방면,"1","1","02:51"
693,이수,"2738","7",남성 방면,"8","4",총신대입구,"0432","4",사당 방면,"1","1","02:51"
694,이수,"2738","7",내방 방면,"2","2",총신대입구,"0432","4",사당 방면,"1","1","02:51"
695,보라매,"2744","7",신대방삼거리 방면,"1","1",보라매,"4404",신림선,보라매공원 방면,"1","2","02:24"
696,보라매,"2744","7",신풍 방면,"8","4",보라매,"4404",신림선,보라매공원 방면,"1","2","02:24"
697,보라매,"2744",신림선,서울지방병무청 방면,"3","1",보라매,"2744","7",신풍 방면,"8","4","02:24"
698,보라매,"2744",신림선,보라매공원 방면,"1","2",보라매,"2744","7",신대방삼거리 방면,"8","4","02:24"
699,보라매,"2744",신림선,보라매공원 방면,"1","2",보라매,"2744","7",신풍 방면,"8","4","02:24"
700,보라매,"2744","7",신풍 방면,"8","4",보라매,"4404",신림선,서울지방병무청 방면,"1","2","02:24"
701,보라매,"2744","7",신대방삼거리 방면,"1","1",보라매,"4404",신림선,서울지방병무청 방면,"1","2","02:24"
702,보라매,"2744",신림선,서울지방병무청 방면,"3","1",보라매,"2744","7",신대방삼거리 방면,"8","4","02:24"
703,대림,"2746","7",신풍 방면,"8","4",대림,"0233","2",구로디지털단지 방면,"7","4","04:05"
704,대림,"2746","7",신풍 방면,"8","4",대림,"0233","2",신도림 방면,"7","4","04:05"
705,대림,"2746","7",남구로 방면,"1","1",대림,"0233","2",구로디지털단지 방면,"7","4","04:05"
706,대림,"2746","7",남구로 방면,"1","1",대림,"0233","2",신도림 방면,"7","4","04:05"
707,가산디지털단지,"2748","7",남구로 방면,"4","3",가산디지털단지,"1702","1",구로 방면,"1","2","03:16"
708,가산디지털단지,"2748","7",남구로 방면,"4","3",가산디지털단지,"1702","1",독산 방면,"1","2","03:16"
709,가산디지털단지,"2748","7",철산 방면,"5","1",가산디지털단지,"1702","1",구로 방면,"1","2","03:16"
710,가산디지털단지,"2748","7",철산 방면,"5","1",가산디지털단지,"1702","1",독산 방면,"1","2","03:16"
711,온수,"2752","7",천왕 방면,"8","4",온수,"1821","1",역곡 방면,"1","1","04:14"
712,온수,"2752","7",오류동 방면,"1","1",온수,"1821","1",오류동 방면,"1","1","04:14"
713,온수,"2752","7",역곡 방면,"1","1",온수,"1821","1",역곡 방면,"1","1","04:14"
714,온수,"2752","7",천왕 방면,"8","4",온수,"1821","1",오류동 방면,"1","1","04:14"
715,별내,"2805","8",갈매 방면,"6","1",별내,"1313",경춘선,갈매 방면,"6","1","00:43"
716,별내,"2805","8",퇴계원 방면,"6","1",별내,"1313",경춘선,퇴계원 방면,"6","1","00:43"
717,구리,"2808","8",장자호수공원 방면,"6","1",구리,"1205",경의선,양원 방면,"6","1","00:43"
718,구리,"2808","8",장자호수공원 방면,"6","1",구리,"1205",경의선,도농 방면,"6","1","00:43"
719,구리,"2808","8",동구릉 방면,"6","1",구리,"1205",경의선,양원 방면,"6","1","00:43"
720,구리,"2808","8",동구릉 방면,"6","1",구리,"1205",경의선,도농 방면,"6","1","00:43"
721,천호,"2812","8",강동구청 방면,"5","4",천호,"2548","5",강동 방면,"8","2","01:59"
722,천호,"2812","8",암사 방면,"2","1",천호,"2548","5",강동 방면,"8","2","01:59"
723,천호,"2812","8",강동구청 방면,"5","4",천호,"2548","5",광나루 방면,"8","2","01:59"
724,천호,"2812","8",암사 방면,"2","1",천호,"2548","5",광나루 방면,"8","2","01:59"
725,잠실,"2815","8",몽촌토성 방면,"6","4",잠실,"0216","2",잠실나루 방면,"10","3","02:38"
726,잠실,"2815","8",석촌 방면,"1","1",잠실,"0216","2",잠실새내 방면,"10","3","02:38"
727,잠실,"2815","8",몽촌토성 방면,"6","4",잠실,"0216","2",잠실새내 방면,"10","3","02:38"
728,잠실,"2815","8",석촌 방면,"1","1",잠실,"0216","2",잠실나루 방면,"10","3","02:38"
729,가락시장,"2818","8",문정 방면,"1","1",가락시장,"0340","3",경찰병원 방면,"10","1","01:29"
730,가락시장,"2818","8",문정 방면,"1","1",가락시장,"0340","3",수서 방면,"10","1","01:29"
731,가락시장,"2818","8",송파 방면,"6","4",가락시장,"0340","3",경찰병원 방면,"10","1","01:29"
732,가락시장,"2818","8",송파 방면,"6","4",가락시장,"0340","3",수서 방면,"10","1","01:29"
733,복정,"2821","8",장지 방면,"3","4",복정,"1031",수인분당선,가천대 방면,"3","3","00:46"
734,복정,"2821","8",산성 방면,"4","1",복정,"1031",수인분당선,가천대 방면,"3","3","00:46"
735,복정,"2821","8",산성 방면,"4","1",복정,"1031",수인분당선,수서 방면,"3","3","00:46"
736,복정,"2821","8",장지 방면,"3","4",복정,"1031",수인분당선,수서 방면,"3","3","00:46"
737,모란,"2827","8",야탑 방면,"1","1",모란,"1853",수인분당선,야탑 방면,"6","4","01:31"
738,모란,"2827","8",태평 방면,"1","1",모란,"1853",수인분당선,태평 방면,"6","4","01:31"
739,계양,"3110",인천1,김포공항 방면,"3","3",계양,"4208",공항철도,김포공항 방면,"2","1","05:00"
740,계양,"3110",인천1,검암 방면,"3","3",계양,"4208",공항철도,검암 방면,"2","1","05:00"
741,부평,"3120",인천1,부평시장 방면,"3","3",부평,"1806","1",부개 방면,"6","1","05:00"
742,부평,"3120",인천1,동수 방면,"6","2",부평,"1806","1",부개 방면,"6","1","05:00"
743,부평,"3120",인천1,동수 방면,"6","2",부평,"1806","1",백운 방면,"6","1","05:00"
744,부평,"3120",인천1,부평시장 방면,"3","3",부평,"1806","1",백운 방면,"6","1","05:00"
745,원인재,"3130",인천1,신연수 방면,"2","3",원인재,"1884",수인분당선,남동인더스파크 방면,"2","2","10:00"
746,원인재,"3130",인천1,신연수 방면,"2","3",원인재,"1884",수인분당선,연수 방면,"2","2","10:00"
747,원인재,"3130",인천1,동춘 방면,"5","3",원인재,"1884",수인분당선,남동인더스파크 방면,"2","2","10:00"
748,원인재,"3130",인천1,동춘 방면,"5","3",원인재,"1884",수인분당선,연수 방면,"2","2","10:00"
749,김포공항,"4102","9",공항시장 방면,모든 호차,모든 문,김포공항,"4207",공항철도,계양 방면,"3","4","10:00"
750,김포공항,"4102","9",개화 방면,"2","4",김포공항,"2513","5",송정 방면,"1","4","10:00"
751,김포공항,"4102","9",개화 방면,"2","4",김포공항,"2513","5",개화산 방면,"1","4","10:00"
752,김포공항,"4102","9",공항시장 방면,"4","4",김포공항,"2513","5",송정 방면,"1","4","10:00"
753,김포공항,"4102","9",공항시장 방면,"3","1",김포공항,"2513","5",개화산 방면,"1","4","10:00"
754,김포공항,"4102","9",개화 방면,"2","4",김포공항,"4207",공항철도,마곡나루 방면,"3","4","10:00"
755,김포공항,"4102","9",개화 방면,"2","4",김포공항,"4207",공항철도,계양 방면,"3","4","10:00"
756,김포공항,"4102","9",공항시장 방면,모든 호차,모든 문,김포공항,"4207",공항철도,마곡나루 방면,"3","4","10:00"
757,당산,"4113","9",선유도 방면,"1","1",당산,"0237","2",합정 방면,"8","1","10:00"
758,당산,"4113","9",국회의사당 방면,"4","4",당산,"0237","2",합정 방면,"8","1","10:00"
759,당산,"4113","9",국회의사당 방면,"4","4",당산,"0237","2",영등포구청 방면,"8","1","10:00"
760,당산,"4113","9",선유도 방면,"1","1",당산,"0237","2",영등포구청 방면,"8","1","10:00"
761,여의도,"4115","9",샛강 방면,"3","3",여의도,"2527","5",신길 방면,"6","1","10:00"
762,여의도,"4115","9",샛강 방면,"3","3",여의도,"2527","5",여의나루 방면,"6","1","10:00"
763,여의도,"4115","9",국회의사당 방면,"2","3",여의도,"2527","5",신길 방면,"6","1","10:00"
764,여의도,"4115","9",국회의사당 방면,"2","3",여의도,"2527","5",여의나루 방면,"6","1","10:00"
765,샛강,"4116",신림선,여의도 방면,"1","1",샛강,"4116","9",여의도 방면,"1","1","02:24"
766,샛강,"4116",신림선,노량진 방면,"1","1",샛강,"4116","9",노량진 방면,"1","1","02:24"
767,샛강,"4116","9",노량진 방면,"1","1",샛강,"4401",신림선,대방 방면,"1","1","02:24"
768,샛강,"4116","9",여의도 방면,"1","1",샛강,"4401",신림선,대방 방면,"1","1","02:24"
769,노량진,"4117","9",노들 방면,"4","2",노량진,"1004","1",용산 방면,"1","1","07:00"
770,노량진,"4117","9",노들 방면,"4","2",노량진,"1004","1",대방 방면,"1","1","07:00"
771,노량진,"4117","9",샛강 방면,"1","3",노량진,"1004","1",대방 방면,"1","1","07:00"
772,노량진,"4117","9",샛강 방면,"1","3",노량진,"1004","1",용산 방면,"1","1","07:00"
773,동작,"4120","9",흑석 방면,"4","4",동작,"0431","4",이촌 방면,"5","3","10:00"
774,동작,"4120","9",구반포 방면,"1","1",동작,"0431","4",총신대입구 방면,"5","3","10:00"
775,동작,"4120","9",구반포 방면,"1","1",동작,"0431","4",이촌 방면,"5","3","10:00"
776,동작,"4120","9",흑석 방면,"4","4",동작,"0431","4",총신대입구 방면,"5","3","10:00"
777,고속터미널,"4123","9",사평 방면,"2","1",고속터미널,"0329","3",잠원 방면,"7","2","10:00"
778,고속터미널,"4123","9",신반포 방면,"4","1",고속터미널,"2736","7",내방 방면,"7","1","10:00"
779,고속터미널,"4123","9",신반포 방면,"4","1",고속터미널,"2736","7",반포 방면,"7","1","10:00"
780,고속터미널,"4123","9",신반포 방면,"4","1",고속터미널,"0329","3",잠원 방면,"7","2","10:00"
781,고속터미널,"4123","9",사평 방면,"2","1",고속터미널,"2736","7",반포 방면,"7","1","10:00"
782,고속터미널,"4123","9",사평 방면,"2","1",고속터미널,"2736","7",내방 방면,"7","1","10:00"
783,고속터미널,"4123","9",신반포 방면,"4","1",고속터미널,"0329","3",교대 방면,"7","2","10:00"
784,고속터미널,"4123","9",사평 방면,"2","1",고속터미널,"0329","3",교대 방면,"7","2","10:00"
785,서울역,"4201",공항철도,숙대입구 방면,"3","2",서울역,"0426","4",숙대입구 방면,"3","3","10:00"
786,서울역,"4201",공항철도,남영 방면,"3","2",서울역,"0150","1",남영 방면,"10","4","10:00"
787,서울역,"4201",공항철도,회현 방면,"3","2",서울역,"0426","4",회현 방면,"3","3","10:00"
788,서울역,"4201",공항철도,시청 방면,"3","2",서울역,"0150","1",시청 방면,"10","4","10:00"
789,공덕,"4202",공항철도,홍대입구 방면,"1","4",공덕,"1262",경의선,서강대 방면,모든 호차,모든 문,"10:00"
790,공덕,"4202",공항철도,홍대입구 방면,"1","4",공덕,"2627","6",대흥 방면,"8","4","07:00"
791,공덕,"4202",공항철도,홍대입구 방면,"1","4",공덕,"2627","6",효창공원앞 방면,"8","4","07:00"
792,공덕,"4202",공항철도,서울역 방면,"6","1",공덕,"2627","6",대흥 방면,"8","4","07:00"
793,공덕,"4202",공항철도,홍대입구 방면,"1","4",공덕,"1262",경의선,효창공원앞 방면,모든 호차,모든 문,"10:00"
794,공덕,"4202",공항철도,서울역 방면,"6","1",공덕,"2627","6",효창공원앞 방면,"8","4","07:00"
795,공덕,"4202",공항철도,서울역 방면,"6","1",공덕,"1262",경의선,효창공원앞 방면,모든 호차,모든 문,"10:00"
796,공덕,"4202",공항철도,홍대입구 방면,"1","4",공덕,"2530","5",마포 방면,"1","1","07:00"
797,공덕,"4202",공항철도,홍대입구 방면,"1","4",공덕,"2530","5",애오개 방면,"1","1","07:00"
798,공덕,"4202",공항철도,서울역 방면,"6","1",공덕,"2530","5",마포 방면,"1","1","07:00"
799,공덕,"4202",공항철도,서울역 방면,"6","1",공덕,"2530","5",애오개 방면,"1","1","07:00"
800,공덕,"4202",공항철도,서울역 방면,"6","1",공덕,"1262",경의선,서강대 방면,모든 호차,모든 문,"10:00"
801,홍대입구,"4203",공항철도,서울역 방면,"5","3",홍대입구,"0239","2",신촌 방면,"8","2","10:00"
802,홍대입구,"4203",공항철도,디지털미디어시티 방면,"2","2",홍대입구,"0239","2",신촌 방면,"8","2","10:00"
803,홍대입구,"4203",공항철도,디지털미디어시티 방면,"2","2",홍대입구,"0239","2",합정 방면,"8","2","10:00"
804,홍대입구,"4203",공항철도,서울역 방면,"5","3",홍대입구,"1264",경의선,가좌 방면,"1","1","10:00"
805,홍대입구,"4203",공항철도,서울역 방면,"5","3",홍대입구,"0239","2",합정 방면,"8","2","10:00"
806,홍대입구,"4203",공항철도,디지털미디어시티 방면,"2","2",홍대입구,"1264",경의선,서강대 방면,"1","1","10:00"
807,홍대입구,"4203",공항철도,디지털미디어시티 방면,"2","2",홍대입구,"1264",경의선,가좌 방면,"1","1","10:00"
808,홍대입구,"4203",공항철도,서울역 방면,"5","3",홍대입구,"1264",경의선,서강대 방면,"1","1","10:00"
809,디지털미디어시티,"4204",공항철도,홍대입구 방면,"2","3",디지털미디어시티,"1266",경의선,수색 방면,"8","4","10:00"
810,디지털미디어시티,"4204",공항철도,홍대입구 방면,"2","3",디지털미디어시티,"1266",경의선,가좌 방면,"8","4","10:00"
811,디지털미디어시티,"4204",공항철도,마곡나루 방면,"6","4",디지털미디어시티,"1266",경의선,수색 방면,"8","4","10:00"
812,디지털미디어시티,"4204",공항철도,마곡나루 방면,"6","4",디지털미디어시티,"1266",경의선,가좌 방면,"8","4","10:00"
813,디지털미디어시티,"4204",공항철도,홍대입구 방면,"2","3",디지털미디어시티,"2619","6",월드컵경기장 방면,"8","4","10:00"
814,디지털미디어시티,"4204",공항철도,홍대입구 방면,"2","3",디지털미디어시티,"2619","6",증산 방면,"8","4","10:00"
815,디지털미디어시티,"4204",공항철도,마곡나루 방면,"6","4",디지털미디어시티,"2619","6",월드컵경기장 방면,"8","4","10:00"
816,디지털미디어시티,"4204",공항철도,마곡나루 방면,"6","4",디지털미디어시티,"2619","6",증산 방면,"8","4","10:00"
817,김포공항,"4207",공항철도,계양 방면,"3","4",김포공항,"2513","5",개화산 방면,"1","4","08:00"
818,김포공항,"4207",공항철도,마곡나루 방면,"2","2",김포공항,"4102","9",개화 방면,모든 호차,모든 문,"10:00"
819,김포공항,"4207",공항철도,마곡나루 방면,"3","4",김포공항,"2513","5",개화산 방면,"1","4","08:00"
820,김포공항,"4207",공항철도,계양 방면,"6","4",김포공항,"2513","5",송정 방면,"1","4","08:00"
821,김포공항,"4207",공항철도,계양 방면,모든 호차,모든 문,김포공항,"4102","9",공항시장 방면,모든 호차,모든 문,"10:00"
822,김포공항,"4207",공항철도,마곡나루 방면,모든 호차,모든 문,김포공항,"4102","9",공항시장 방면,모든 호차,모든 문,"10:00"
823,김포공항,"4207",공항철도,계양 방면,"2","2",김포공항,"4102","9",개화 방면,모든 호차,모든 문,"10:00"
824,김포공항,"4207",공항철도,마곡나루 방면,"6","4",김포공항,"2513","5",송정 방면,"1","4","08:00"
825,계양,"4208",공항철도,검암 방면,"2","1",계양,"3110",인천1,귤현 방면,"3","3","05:00"
826,계양,"4208",공항철도,김포공항 방면,"5","4",계양,"3110",인천1,귤현 방면,"3","3","05:00"
827,강남,"4307",신분당선,역삼 방면,"1","1",강남,"0222","2",역삼 방면,"6","3","02:32"
828,강남,"4307",신분당선,교대 방면,"1","1",강남,"0222","2",교대 방면,"6","3","02:32"
829,양재,"4308",신분당선,양재시민의숲 방면,"6","4",양재,"0332","3",남부터미널 방면,"6","1","02:24"
830,양재,"4308",신분당선,강남 방면,"1","1",양재,"0332","3",남부터미널 방면,"6","1","02:24"
